"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz9.11","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.11","Labridae","Coris","auricularis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.11","Labridae","Stethojulis","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.11","Lethrinidae","Lethrinus","miniatus",7
"2021-05_Abrolhos_stereo-BRUVs","npz9.12","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Apogonidae","Ostorhinchus","spp",7
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Gerreidae","Unknown","spp",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Labridae","Coris","auricularis",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Labridae","Stethojulis","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Labridae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Muraenidae","Gymnothorax","woodwardi",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Pinguipedidae","Parapercis","nebulosa",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.13","Serranidae","Epinephelus","areolatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Gerreidae","Parequula","melbournensis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Labridae","Coris","auricularis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Lethrinidae","Gymnocranius","grandoculis",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Ostraciidae","Tetrosomus","reipublicae",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.14","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Labridae","Bodianus","solatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Labridae","Stethojulis","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Lethrinidae","Gymnocranius","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Lutjanidae","Pristipomoides","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.16","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Carangidae","Seriola","hippos",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Labridae","Bodianus","vulpinus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Lethrinidae","Lethrinus","miniatus",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Lutjanidae","Pristipomoides","multidens",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Serranidae","Epinephelus","areolatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Serranidae","Epinephelus","morrhua",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.17","Sparidae","Chrysophrys","auratus",1
